wave_id,wave_folder,enabled,readme_count,sav_count,pdf_count,notes
W100,data/pew_datasets/W100_Dec21,yes,1,1,3,
W101,data/pew_datasets/W101_Jan22,yes,0,1,3,
W102,data/pew_datasets/W102_Jan22,yes,0,1,3,
W103,data/pew_datasets/W103_Feb22,yes,1,1,3,
W104,data/pew_datasets/W104_Mar22,yes,1,1,3,
W105,data/pew_datasets/W105_Mar22,yes,1,1,5,
W106,data/pew_datasets/W106_Aprl22,yes,1,1,3,
W107,data/pew_datasets/W107_Aprl22,yes,1,1,3,
W108,data/pew_datasets/W108_May22,yes,1,1,3,
W109,data/pew_datasets/W109_May22,yes,1,1,3,
W10,data/pew_datasets/W10_Mar15,yes,1,1,0,
W110,data/pew_datasets/W110_Jun22,yes,1,1,3,
W111,data/pew_datasets/W111_Jul22,yes,1,1,3,
W112,data/pew_datasets/W112_Jul22,yes,1,1,4,
W113,data/pew_datasets/W113_Aug22,yes,1,1,5,
W114,data/pew_datasets/W114_Sept22,yes,1,1,3,
W115,data/pew_datasets/W115_Sept22,yes,1,1,3,
W116,data/pew_datasets/W116_Oct22,yes,1,1,3,
W117,data/pew_datasets/W117_Nov22,yes,1,1,3,
W118,data/pew_datasets/W118_Dec22,yes,0,1,3,
W119,data/pew_datasets/W119_Dec22,yes,0,1,3,
W11,data/pew_datasets/W11_Jun15,yes,1,1,3,
W120,data/pew_datasets/W120_Jan23,yes,0,1,3,
W121,data/pew_datasets/W121_Feb23,yes,0,1,3,
W122,data/pew_datasets/W122_Feb23,yes,0,1,3,
W123,data/pew_datasets/W123_Mar23,yes,0,1,3,
W124,data/pew_datasets/W124_Mar23,yes,0,1,2,
W125,data/pew_datasets/W125_Mar23,yes,0,1,2,
W126,data/pew_datasets/W126_Apr23,yes,0,1,2,
W127,data/pew_datasets/W127_May23,yes,0,1,2,
W128,data/pew_datasets/W128_May23,yes,0,1,2,
W129,data/pew_datasets/W129_June23,yes,0,1,3,
W12,data/pew_datasets/W12_Aug15,yes,1,1,3,
W130,data/pew_datasets/W130_July23,yes,0,1,3,
W131,data/pew_datasets/W131_July23,yes,0,1,2,
W132,data/pew_datasets/W132_Aug23,yes,0,1,2,
W133,data/pew_datasets/W133_Aug23,yes,0,1,2,
W134,data/pew_datasets/W134_Sept23,yes,0,1,2,
W135,data/pew_datasets/W135_Oct23,yes,0,1,3,
W137,data/pew_datasets/W137_Nov23,yes,0,1,2,
W138,data/pew_datasets/W138_Nov23,yes,0,1,2,
W139,data/pew_datasets/W139_Dec23,yes,0,1,2,
W13,data/pew_datasets/W13_Dec15,yes,1,1,0,
W140,data/pew_datasets/W140_Jan24,yes,0,1,2,
W141,data/pew_datasets/W141_Jan24,yes,0,1,2,
W142,data/pew_datasets/W142_Feb24,yes,0,1,2,
W143,data/pew_datasets/W143_Feb24,yes,0,1,2,
W144,data/pew_datasets/W144_Mar24,yes,0,1,2,
W145,data/pew_datasets/W145_Apr24,yes,0,1,2,
W146,data/pew_datasets/W146_Apr24,yes,0,1,2,
W147,data/pew_datasets/W147_May24,yes,0,1,2,
W148,data/pew_datasets/W148_May24,yes,0,1,2,
W149,data/pew_datasets/W149_Jul24,yes,0,1,2,
W14,data/pew_datasets/W14_Jan16,yes,1,1,0,
W15,data/pew_datasets/W15,yes,1,1,0,
W150,data/pew_datasets/W150_Jul24,yes,0,1,2,
W151,data/pew_datasets/W151_Aug24,yes,0,1,2,
W152,data/pew_datasets/W152_Aug24,yes,0,1,2,
W153,data/pew_datasets/W153_Sept24,yes,0,1,2,
W154,data/pew_datasets/W154_Sept24,yes,0,1,2,
W155,data/pew_datasets/W155_Sept24,yes,0,1,2,
W156,data/pew_datasets/W156_Oct24,yes,0,1,2,
W157,data/pew_datasets/W157_Oct24,yes,0,1,2,
W158,data/pew_datasets/W158_Oct24,yes,0,1,2,
W159,data/pew_datasets/W159_Nov24,yes,0,1,3,
W16,data/pew_datasets/W16,yes,1,1,0,
W17,data/pew_datasets/W17_May16,yes,1,1,0,
W18,data/pew_datasets/W18_Jun16,yes,1,1,0,
W19,data/pew_datasets/W19_Jul16,yes,1,1,0,
W1,data/pew_datasets/W1_Mar14,yes,1,1,0,
W20,data/pew_datasets/W20_Aug16,yes,1,1,0,
W21,data/pew_datasets/W21,yes,1,1,0,
W22,data/pew_datasets/W22,yes,1,1,0,
W23,data/pew_datasets/W23,yes,0,1,0,
W24,data/pew_datasets/W24_Jan17,yes,1,1,0,
W25,data/pew_datasets/W25_Mar17,yes,1,1,0,
W26,data/pew_datasets/W26_Apr17,yes,1,1,0,
W27,data/pew_datasets/W27_May17,yes,1,1,0,
W28,data/pew_datasets/W28_Aug17,yes,1,1,0,
W29,data/pew_datasets/W29_Sep17,yes,1,1,0,
W30,data/pew_datasets/W30_Dec17,yes,1,1,0,
W31,data/pew_datasets/W31_Feb18-1,yes,1,1,0,
W32,data/pew_datasets/W32_Feb18,yes,1,1,0,
W33,data/pew_datasets/W33_Mar18,yes,1,1,0,
W34,data/pew_datasets/W34_Apr18,yes,1,1,0,
W35,data/pew_datasets/W35_May18,yes,1,1,0,
W36,data/pew_datasets/W36_Jun-18-1,yes,1,1,0,
W37,data/pew_datasets/W37_Jul18,yes,1,1,0,
W38,data/pew_datasets/W38_Sep18,yes,1,1,0,
W39,data/pew_datasets/W39_Nov18,yes,1,1,0,
W3,data/pew_datasets/W3_May14,yes,1,1,0,
W40,data/pew_datasets/W40_Nov18,yes,1,1,3,
W41,data/pew_datasets/W41_Dec18,yes,1,1,3,
W42,data/pew_datasets/W42_Jan19,yes,1,1,3,
W43,data/pew_datasets/W43_Jan19,yes,1,1,3,
W44,data/pew_datasets/W44_Feb19,yes,1,1,3,
W45,data/pew_datasets/W45_Feb19,yes,1,1,3,
W46,data/pew_datasets/W46_Mar19-1,yes,1,1,3,
W47,data/pew_datasets/W47_Apr19,yes,1,1,2,
W48,data/pew_datasets/W48_Apr19,yes,1,1,3,
W49,data/pew_datasets/W49_Jun19,yes,1,1,3,
W4,data/pew_datasets/W4_Jun14,yes,1,1,0,
W50,data/pew_datasets/W50_Jun19,yes,1,1,3,
W51,data/pew_datasets/W51_Jul19,yes,1,1,3,
W52,data/pew_datasets/W52_Jul19,yes,1,1,3,
W53,data/pew_datasets/W53_Sep19,yes,1,1,3,
W54,data/pew_datasets/W54_Sep19-1,yes,1,1,3,
W55,data/pew_datasets/W55_Oct19,yes,1,1,3,
W56,data/pew_datasets/W56_Oct19,yes,1,1,3,
W57,data/pew_datasets/W57_Nov19,yes,1,1,3,
W58,data/pew_datasets/W58_Dec19-1,yes,1,1,3,
W59,data/pew_datasets/W59_Jan20,yes,1,1,3,
W5,data/pew_datasets/W5_Jul14,yes,1,1,0,
W60,data/pew_datasets/W60_Black_faith_dataset,yes,0,2,0,
W61,data/pew_datasets/W61_Feb20,yes,1,1,3,
W62,data/pew_datasets/W62_Feb20,yes,1,1,3,
W63,data/pew_datasets/W63_Mar20,yes,1,1,3,
W64,data/pew_datasets/W64_Apr20,yes,1,1,3,
W65,data/pew_datasets/W65_Apr20,yes,1,1,3,
W66,data/pew_datasets/W66_Apr20,yes,1,1,3,
W67,data/pew_datasets/W67_May20,yes,1,1,3,
W68,data/pew_datasets/W68_Jun20-1,yes,1,1,3,
W69,data/pew_datasets/W69_Jun20,yes,1,1,3,
W6,data/pew_datasets/W6_Aug14,yes,1,1,0,
W70,data/pew_datasets/W70_Jul20,yes,1,1,3,
W71,data/pew_datasets/W71_Jul20,yes,1,1,3,
W72,data/pew_datasets/W72_Aug20,yes,1,1,3,
W73,data/pew_datasets/W73_Sep20,yes,1,1,3,
W74,data/pew_datasets/W74_Sep20,yes,1,1,4,
W75,data/pew_datasets/W75_Sep20,yes,1,1,3,
W76,data/pew_datasets/W76_Oct20,yes,1,1,3,
W77,data/pew_datasets/W77_Oct20,yes,1,1,3,
W78,data/pew_datasets/W78_Nov20-2,yes,1,1,3,
W79,data/pew_datasets/W79_Nov20,yes,1,1,3,
W7,data/pew_datasets/W7_Sep14,yes,1,1,0,
W80,data/pew_datasets/W80_Jan21,yes,1,1,3,
W81,data/pew_datasets/W81_Jan21,yes,1,1,3,
W82,data/pew_datasets/W82_Feb21,yes,1,1,3,
